Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00ASGJ,E05000326,Brunel,Hillingdon,80.3,14750,2350,10850,1600,15.9,73.3,10.8,33.6,27,3.3,4424.2,38.2,29.3,9.8,55.2,77.7,82.9,169.1,0.7,4,5848,57.5,31,273750,160,34630,4620,17.1,32,21.8,29.2,55.3,22,20.9,3.8,87,9.1,11.3,8.1,3.2,1.8,15.2,5.7,43.9,361,57.1,294.2,1.3,17.6,23.6,675.2,200.8,96.8,33.6,0.6,40.5,1.1,2.4,1.8,22.7
00ASGK,E05000327,Cavendish,Hillingdon,83.5,12100,2400,7750,2000,19.8,63.8,16.4,39.4,40,2,6000,19.7,16.7,3.7,65.2,81.2,85.5,94.1,0.4,0,5755,77.6,8.1,400000,149,43970,4539,10.2,54,22.7,13.1,82.2,7.3,9.4,0,89.7,10.3,6.3,4.1,2.2,1,6.8,2.7,31.6,578,0,347,0.4,17.2,29.9,734.9,212,33.8,8.5,0.3,17.7,1.4,2.1,1.2,40.2
00ASGL,E05000328,Charville,Hillingdon,81.4,13200,3000,8550,1650,22.7,64.9,12.4,35.7,34,3,4350,43.9,30.1,9.7,62.1,80.3,82.5,107.6,0.6,5,5794,71,25.3,275000,130,35410,4487,4.7,59.5,17.8,18,71.1,9.7,15.9,6.6,92.5,0.9,10,9.1,3.9,2.2,12.8,6,45.5,422,37.5,334,0.9,21.6,21.1,688.4,211.9,52.6,22.3,0.3,44.9,1.3,2.4,1.4,31.5
00ASGM,E05000329,Eastcote and East Ruislip,Hillingdon,86.2,12600,2150,7800,2650,17.2,61.7,21.2,42.4,44,4.1,3048.8,20.2,17.5,3.7,65,83.9,88.5,88.6,0.4,3,5804,76.8,8.8,500000,201,47380,4875,36.6,38.7,8.4,16.3,83.8,7.2,8.2,0.4,44.8,54.8,6.5,3.7,2,0.6,5.8,1.6,30,598,12.5,350.9,0.4,13.6,38.1,764.3,213.6,41.9,9.6,0.2,33.4,1.5,1.7,1.2,45.5
00ASGN,E05000330,Harefield,Hillingdon,80.1,7750,1550,4900,1350,19.7,63.2,17.1,39.8,40,15.2,500,12.5,13.3,3.1,56,77.9,82.3,137.2,0.5,4,3571,75.7,7.5,310000,113,37990,3132,15.4,37.9,23.8,22.7,64.2,24,10.2,5.3,77.7,17,10.9,8.8,4.3,0.9,14.3,3.7,40.1,385,80,306.9,1,23.8,25,701.7,218.8,64.3,19.5,2.4,85.5,1.4,1.4,1.4,30.4
00ASGP,E05000331,Heathrow Villages,Hillingdon,81,13250,3050,8900,1300,23.2,67.1,9.7,34.5,33,23.5,546.8,50,43.2,17.1,96.2,78.9,83.2,716.7,2.4,14,6107,71.7,69.1,209000,97,33170,4704,7,34.1,21.3,37.4,49.6,14.8,33.6,12.8,85.3,1.9,11.4,10.9,3.7,1.8,16.3,6.7,48.8,315,100,319.9,1.3,19.2,24.2,681.5,216.3,272.2,58.3,1.3,29.5,1.1,2.6,1.4,24.6
00ASGQ,E05000332,Hillingdon East,Hillingdon,80.9,13700,3100,9000,1600,22.5,65.7,11.8,35.4,34,3.6,3722.2,34.4,23.3,6.4,59,78.6,83.2,102.4,0.2,7,6074,72.4,15.9,311000,182,37250,4661,5.9,34.2,45.1,14.7,68.7,14.8,14.6,4.9,93,2.1,10,8,3.4,1.4,12.4,5.6,41.2,432,50,326.5,0.7,19.3,24.2,717.7,210.7,55.8,17.7,0.5,48.2,1.3,1.7,1.5,31.3
00ASGR,E05000333,Ickenham,Hillingdon,85,10750,1900,6600,2250,17.6,61.5,20.9,42.4,44,6.2,1725.8,21.8,15.9,2.8,41.7,83.2,86.8,92.1,0.6,4,4884,76.6,6.4,521000,143,48770,4059,45.3,40.3,5,9.4,86,4.4,8.8,0.7,43,56.2,5.3,2.5,1.8,0.4,4.3,1.4,24.4,612,0,366.8,0.3,14.6,36,713.7,216.9,33.2,7.1,0.6,55.7,1.6,2.1,1.6,46.5
00ASGS,E05000334,Manor,Hillingdon,83.4,11900,2400,7600,1900,20.1,63.9,16,39.2,39,2,5875,16,16.2,3.6,65.8,82.6,84.1,99.2,0.5,0,5903,80.5,9.3,372500,206,43460,4635,9.8,25.8,45.7,18.6,80.9,4.1,13.3,0.4,88.9,10.7,5.8,3.7,1.9,0.9,7.9,2.3,30.8,576,0,350.7,0.5,17,29.6,710.8,211.3,38.8,12.4,0.2,18.1,1.3,2.9,1.1,42
00ASGT,E05000335,Northwood,Hillingdon,83.8,10850,1750,6800,2300,16.1,62.6,21.3,42.7,43,7.4,1452.7,34.8,31.8,7,51.9,81.8,85.6,161.9,0.2,4,4860,73.3,13.6,470000,192,46550,4924,29.7,12.1,14.3,43.8,64.1,14.2,19.8,6.8,49.3,43.9,7.4,7.8,3.3,1.3,5.8,2.3,41.8,542,0,338.6,0.7,13.3,46.4,796.7,220.2,46.3,10.2,0.1,61,1.3,2.2,0.8,36.8
00ASGU,E05000336,Northwood Hills,Hillingdon,83.8,12050,2250,7600,2150,18.9,63.2,17.9,40.3,40,3.3,3606.1,33.3,27.9,7.1,63,81.3,86,116.3,0.6,4,5475,74.3,14.6,413500,171,43320,4847,26.4,31.1,12.9,29.6,67,15.5,16.1,2.6,73.8,23.6,9.2,8.2,3.6,1.5,8.4,3.1,37,480,42.9,332.4,0.6,16.6,37.1,724.6,205.1,53.9,15.5,0.4,33.3,1.3,2,1,33.8
00ASGW,E05000337,Pinkwell,Hillingdon,82.4,15750,4150,10200,1400,26.2,64.9,8.9,32.7,31,2.7,5703.7,68.2,45.3,18.5,78.3,79.9,85,106.6,0.6,6,6417,66.8,59.5,280000,107,31830,4737,6,47.5,27.3,19.1,57.7,20.4,19.9,8.7,91.1,0.2,12.2,11.1,4.2,3,14.8,8.7,51.3,263,100,326.1,1.3,22,22.8,666.9,210.3,73.6,24.2,0.8,26.9,1.2,2.7,1.1,28.6
00ASGX,E05000338,South Ruislip,Hillingdon,81.5,12950,2650,8600,1700,20.7,66.3,13,36.4,35,7.4,1723,27,23.2,7.7,70.3,79,83.9,93.3,0.5,5,6448,77.5,15.7,305000,207,40060,4802,7.8,38,27.6,26.6,69.4,10.1,19,1.2,94.7,4.1,8.7,6.7,2.6,1.3,10.8,4.2,39,452,57.1,327.5,0.7,18.3,27.3,678.3,207.8,64.8,14.7,0.7,62.8,1.2,2.5,2,31.6
00ASGY,E05000339,Townfield,Hillingdon,79.6,14900,3550,9900,1450,24,66.4,9.7,33.5,31,3.5,4171.4,62.9,44.7,18.1,89,77.3,81.9,150.9,0.7,5,5977,63.2,57.9,280000,131,30430,4756,4.9,38.8,23.7,32.6,45.3,30.1,21.5,10.3,88.5,1.1,14.5,15.9,5.2,3.4,19.9,9.3,55.1,209,100,308.6,1.2,24.7,22.2,696.8,206.9,131.2,37.5,0.7,30.9,1,3.1,1.4,30.8
00ASGZ,E05000340,Uxbridge North,Hillingdon,82.8,13100,2400,8600,2100,18.4,65.5,16.1,39.2,38,4.6,2771.7,30.2,23.4,5.9,71.3,81.4,83.9,170.2,2.8,5,5903,74,17.4,349950,287,41470,5132,30.1,28.5,15.1,26.2,67.3,12.7,18.2,4.3,66.8,28.9,8.1,6.9,3.1,1.4,8.8,2.7,37.2,493,37.5,345,0.7,16.8,34.9,688.9,216.4,100.6,30.2,0.5,34.4,1.3,2.4,1.5,34.5
00ASHA,E05000341,Uxbridge South,Hillingdon,80.9,15000,2050,11550,1400,13.6,77.1,9.3,33.2,28,3.1,4758.1,37.9,30.9,10,41.5,78.9,82.9,132,0.8,0,6133,56.8,36.5,259000,164,34270,5119,7.8,30.3,20.7,40.6,49.5,22.2,25.4,10.6,81.3,8.1,11.1,8.9,3.9,1.8,19.1,4.7,47.1,363,62.5,309.2,1.1,14.1,29.9,679.3,209.8,103.3,34.9,0.7,25.9,1,2.5,2.1,24.8
00ASHB,E05000342,West Drayton,Hillingdon,79.1,15250,3600,9900,1750,23.5,65.1,11.4,34.8,33,3.5,4257.1,33.5,27.6,9.2,76.9,77.9,80.2,131.6,0.6,1,6519,69,33.7,249997,266,32680,5613,9.3,34.1,24.1,31.2,51.3,26.4,18.5,7.1,88.4,4.5,16.5,12.7,5.5,1.9,23,7.4,48.5,224,100,293.3,1.6,24.3,24,696.8,212.9,81.5,30.5,1.4,31.9,1.1,2.4,1.9,25.2
00ASHC,E05000343,West Ruislip,Hillingdon,81.9,11600,2150,7450,2000,18.6,64.3,17.1,40.2,39,4.4,2545.5,18,18.4,3.9,59.1,80,83.8,150.4,0.7,2,5421,78.2,10.1,335000,221,43470,4798,24.5,23,19.7,32.8,68.4,11,18.7,3.8,68.2,28,7.9,6.9,2.7,1.2,8,2.2,29.3,541,0,340.5,0.6,16.3,33.9,732.1,207.6,65.4,13.4,0,49.5,1.3,2.2,1.5,37.7
00ASHD,E05000344,Yeading,Hillingdon,81.4,14250,3800,9250,1150,26.8,65.1,8.1,32.3,31,2.3,6087,64.1,42.7,17.4,81.2,80.4,82.5,93.1,0.6,2,5981,66.1,48.2,250000,139,33240,4853,9.2,31.2,29.5,29.9,54.8,21.8,19.4,10.4,86.4,3.3,12.8,13.9,4.7,3,17.5,8.9,49.1,234,100,314.5,1.2,19.8,26,716.8,213.8,76.4,25.3,0.5,33.4,1.1,1.9,1.6,29.5
00ASHE,E05000345,Yiewsley,Hillingdon,81.3,13750,3150,9250,1350,22.7,67.3,10,33.9,32,4,3362.5,33.8,27.7,10,78.5,78.6,83.9,130.7,0.7,5,6051,68.2,28.4,225000,159,32340,5181,4.3,34.2,24.7,36.5,47.6,27.3,21.8,12.1,87.3,0.5,14.9,14.1,5.4,2.2,20.6,7.7,49.5,239,100,289.7,1.5,23.7,23.1,675.4,208.1,110.1,32.5,1.5,41.3,1,2.5,2.2,24.4
00ATFY,E05000346,Bedfont,Hounslow,79.5,12950,2950,8500,1500,22.8,65.6,11.6,35.3,33,4.4,2965.9,35.7,31,12.5,85.5,77.2,82,128,0.5,1,6105,72.2,32,229000,168,31870,5046,4.5,41.8,20.4,33.3,48.2,26.9,16.4,9.8,89.1,1.2,14.5,12,4.8,2.7,19.6,6.6,49,302,85.7,313.5,1.4,24,20.2,673.2,205.7,65,20.3,1.6,52.5,1.1,2.1,3,22.5
00ATFZ,E05000347,Brentford,Hounslow,82.6,15800,2950,11300,1550,18.5,71.5,10,34.6,32,3.2,4828.1,33.9,38.3,15,54.3,79.7,85.7,131.4,0.7,5,7043,68,39.2,370000,335,35040,6116,2.5,13.7,23.9,59.6,38,37.7,18.5,18.2,75,6.8,14.6,13.5,4.5,2.7,19.6,5.9,48.9,287,71.4,330.8,1,17.2,35.3,710.2,215.9,80,20,0.8,42.8,0.8,3.2,5,30
00ATGA,E05000348,Chiswick Homefields,Hounslow,83,11650,2200,7950,1500,18.8,68.4,12.8,37.6,37,2.3,5087,18.8,34,9.8,51.7,81.1,84.5,102.8,0.4,5,6077,76.1,28.3,772500,174,51830,5051,3.4,18.9,25.1,52.3,53.9,16.4,27.9,2,51.3,46.6,6.6,6.2,2.6,1.3,9.6,2.8,42.1,500,14.3,345.5,0.6,9.3,55.7,729.5,212.9,83.5,13.5,0.7,42.2,0.9,3.6,6.9,41.3
00ATGB,E05000349,Chiswick Riverside,Hounslow,84.7,11700,2300,7800,1600,19.7,66.5,13.8,37.9,37,2.1,5642.9,19.1,30.3,8.9,67.6,82.1,87.7,83.1,0.4,4,6201,77.4,25.5,650000,205,49680,5289,4.9,18.4,22.2,54.5,55.8,18.5,24.2,3.3,54.4,42.3,8.5,8.7,3.4,1.7,7.5,2.9,39.6,461,28.6,355.5,0.6,9.2,56,743.6,216.8,62.2,13.2,0.2,35.2,1,2.8,7,41.3
00ATGC,E05000350,Cranford,Hounslow,81.5,12750,2800,8600,1350,22.2,67.3,10.5,34.1,31,2.7,4722.2,73.9,56.2,26.5,97.2,78.6,84.5,124.5,0.9,1,5548,65.6,90.5,226500,76,30860,4006,6.3,31.6,27.7,34.5,43.8,29.1,24.7,20.3,78.4,1.4,14,12.2,5.2,2.7,17.8,7.4,51.6,251,100,314.6,1.3,20.2,26.2,645.4,204.2,74.4,28.9,0.3,26.4,1,2.4,1.8,25.7
00ATGD,E05000351,Feltham North,Hounslow,77.3,11850,2400,7850,1600,20.3,66.1,13.6,36.7,35,3.4,3514.7,38.9,35.7,14.1,76.2,75.8,78.6,142.2,0.4,6,5500,71.6,50.7,270000,107,32850,4310,5.5,40,26.4,27.8,59.1,22.3,16,10.4,89.1,0.5,13.9,10.8,4.6,2.1,18.9,5.5,44.8,291,100,318.9,1.3,26.1,21.1,651.8,207,77.4,25.1,0.3,37,1.1,2.9,2.9,22.3
00ATGE,E05000352,Feltham West,Hounslow,82.4,15800,3950,10700,1150,25,67.6,7.4,31.7,31,3.2,4968.8,35.5,32.3,14.2,76.9,80.6,84.1,113.8,0.3,2,7666,71.8,41.1,225000,235,34010,5895,3.1,25.8,30.9,40.1,45.7,27.2,20.7,11.4,88.6,0,12.5,10.9,4.3,2.1,15.9,7.3,47.9,312,87.5,309.4,1.3,20.5,25,620.1,207.1,69.8,25.1,1.7,41.4,1,2.4,2.9,21.5
00ATGF,E05000353,Hanworth,Hounslow,82.1,12400,2900,8000,1500,23.6,64.5,11.9,34.8,33,3.3,3787.9,32.4,28.9,11.3,68.6,79,85.5,113.3,0.6,4,5265,66.9,26.8,250000,123,31150,4733,3.8,29,29.4,37.8,47.5,38.6,11.3,14.8,84.5,0.6,17.3,15,6.3,2.8,22.5,8.7,52.8,163,100,292.8,1.5,26.4,19.2,579.2,204.5,72.9,28.5,1,45.6,1,2.6,3.5,22.5
00ATGG,E05000354,Hanworth Park,Hounslow,81.3,12250,2600,8150,1500,21.1,66.4,12.4,36.4,35,3.6,3347.2,30.8,28.5,10.9,80.8,79.5,83,118.2,0.7,3,5614,72.9,29.4,250000,135,34340,4576,6.9,34.1,25.5,33.3,61.1,21.3,14,8.4,88.1,3.5,12,9.5,4.3,1.8,15.3,5.8,47.8,332,71.4,316.6,1.1,23.4,22.2,643.3,201.8,70.5,22.4,1.1,41.4,1.1,2.6,2.7,27.2
00ATGH,E05000355,Heston Central,Hounslow,80.7,12600,2650,8500,1450,21,67.5,11.5,35.2,33,1.7,7500,76.6,54.7,23.9,73.2,78.2,83.3,115.2,1.1,5,5584,66.6,87.7,348000,75,33580,3936,5.5,49.5,13.7,31.2,55,19.5,22.9,9.9,85.4,4.7,10.7,9.4,4,2.7,14.4,6.1,52.6,339,85.7,333.7,1.3,17.3,32,701,209.2,53,21.6,0.6,15.8,1.1,2.9,1.5,25
00ATGJ,E05000356,Heston East,Hounslow,83.4,12700,2600,8650,1500,20.4,68,11.6,35.2,32,2,6400,77.4,56.5,26.1,74.2,82.4,84.3,100.3,0.5,3,5745,67.5,69.5,248000,112,34030,4065,7.3,41.7,18.8,32.2,56.6,15.7,25.7,8.9,83.5,7.7,10.4,9.9,4.2,2.4,14.2,6,48.7,404,71.4,337.2,1,16.1,33.4,702.7,219.7,63.3,20.6,0.5,27.1,1.2,2.3,1.1,24.9
00ATGK,E05000357,Heston West,Hounslow,81.6,12750,2900,8450,1400,22.9,66.2,10.9,34.4,32,3.8,3381.6,76.2,51.1,23.9,72.6,79.5,83.6,130.7,0.6,4,5161,62.2,60,280000,61,29490,4071,4.4,35.1,21.2,38.8,46.4,33.7,17.3,20.3,78.9,0.7,14,13.3,5.3,3.4,18,9.2,57.4,273,71.4,323.2,1.2,21.8,24.4,665.7,204.3,100.3,27.4,0.9,39.1,1.1,2.3,1.2,29.2
00ATGL,E05000358,Hounslow Central,Hounslow,83,16200,3300,11350,1550,20.3,70.1,9.6,34,32,1.7,9441.2,70.7,64.5,29.5,81.1,79.9,85.8,156.3,2.3,1,7795,71.4,130.7,249950,125,35830,5519,4.9,26.8,17.1,51.1,38.3,16.9,38.7,16.3,80.2,3.5,7,10.2,3.4,2,11.8,4.2,42.8,446,57.1,345,1.1,12.8,42.8,707.5,212.6,166.8,47.7,0.3,11.1,0.7,5.1,1.5,25.2
00ATGM,E05000359,Hounslow Heath,Hounslow,83.2,15250,3700,10300,1250,24.3,67.5,8.3,32.6,31,2.8,5446.4,72.6,58,27.7,80.5,79.2,87.7,121.7,0.8,1,6878,67.6,90.1,249950,121,32530,5029,5.8,30.6,22.9,40.4,44.7,20,31.9,12.8,85.2,2,11.1,12.9,4.2,3,14.3,7.7,54.8,351,100,340.2,1.3,15.7,34.6,709.8,214.5,64,25.9,0.7,48.6,0.9,3.2,2,27.6
00ATGN,E05000360,Hounslow South,Hounslow,85.4,11700,2200,7800,1650,19,67,14,37.7,36,1.8,6555.6,45.1,38.7,13.2,66,82.2,88.6,86.8,0.3,1,5767,74.1,36.4,375000,107,39920,4008,5.6,54.5,24.5,15.3,74,5.1,19.2,6.6,91.2,2.2,7.4,4.9,2.5,1.9,6,2.5,30.5,536,0,342.9,1.1,15.7,32.9,700.8,211.2,41.4,10,0.4,17.9,1.3,2.5,3.5,37.4
00ATGP,E05000361,Hounslow West,Hounslow,78.9,13750,2650,9650,1450,19.2,70.1,10.7,35.1,32,1.6,8437.5,75.9,62.6,29.4,88.2,77.7,80.1,136.9,0.9,4,6288,69.6,118.9,270000,71,31890,4023,6.3,38.7,20.2,34.7,47,18.9,30.1,13.8,83.3,2.9,10.4,10.2,3.8,2.1,11.7,4.5,53.2,353,100,331.1,1.2,16.3,33.5,707.7,209.5,92.1,30.7,0.4,10.2,0.9,3.9,1.5,26.2
00ATGQ,E05000362,Isleworth,Hounslow,81.1,12150,2700,8150,1300,22.3,66.9,10.8,35.2,34,2,6125,34.8,33.8,11.7,86.7,77.8,84.3,128.8,0.7,0,5827,70.6,21.7,301000,189,34790,4987,2.5,17.9,28.8,50.7,44.3,34.1,18.6,16.7,78.9,4.3,14.3,13.8,5.7,2.8,21.5,7,52.4,281,57.1,315.8,1.2,19.9,33.8,679.5,209.7,69.5,22.3,0.2,22.6,0.9,2.4,4.7,32.4
00ATGR,E05000363,Osterley and Spring Grove,Hounslow,83.1,13350,2600,9050,1750,19.3,67.8,12.9,36.7,35,6.3,2134.9,54.4,46,15.7,68.3,82.4,83.7,107.1,0.7,4,6844,75.3,50,345500,182,42140,4897,8.8,39.4,9.7,42,61.8,6.9,28.3,4.6,65.7,29.7,6.9,5.5,2.5,1.3,7.3,3.4,42.7,498,28.6,367,0.9,10.8,45.9,757.7,221.6,73.2,18.1,0.4,54.3,1.2,2.8,2.8,32.2
00ATGS,E05000364,Syon,Hounslow,78,14200,2950,9850,1400,20.7,69.4,9.9,35.1,34,2.9,4862.1,34.2,36.7,13.5,70.6,77.2,78.9,161,1.3,1,7063,73,33.7,365000,387,37040,5982,2.5,13.7,25.3,58,43.8,27.4,23.8,6.1,86.4,7.5,13.4,12.1,4.3,1.9,16.7,5.4,46.8,300,83.3,318.5,1.1,16.4,38.9,672.2,209.1,82.2,30.7,0,42.5,0.9,3.6,4.4,30.6
00ATGT,E05000365,Turnham Green,Hounslow,83.9,11800,1850,8400,1550,15.8,71,13.2,38.3,36,1.8,6583.3,23.2,39.9,12.8,61.4,81.7,85.6,153,0.7,5,6354,77,49.1,634000,201,47080,5735,3.1,11.8,21.7,63.4,49.4,14.7,34,2.7,65.1,32.2,9.1,7.4,3,1.4,10,2.5,46.9,455,42.9,343.6,1,9.9,55.4,714.9,205.5,95,18.4,0.4,7.4,0.8,4.4,5,37.8
00AUFX,E05000366,Barnsbury,Islington,79,12950,1950,9750,1250,15,75.3,9.7,34.9,31,0.8,15937.5,28.9,35.5,10.9,44.3,76.2,81.8,144.3,1.1,9,6292,68.1,56.2,715000,153,44970,5893,1.2,2.9,15.4,80.5,31.7,38.5,27.3,6.6,72.8,20.7,12.2,13.7,5.6,2.1,21.4,6,55.2,190,100,320.4,1.4,16.3,51.5,621.1,204.8,131.4,30,0.2,11,0.5,5.7,9.7,37.7
00AUFY,E05000367,Bunhill,Islington,81.1,16700,2200,13350,1150,13.1,80,7,32.5,29,1.1,14454.5,34.5,41.9,16.6,42,77.9,84.6,171.5,1.7,13,6889,59.8,67.8,640000,196,39200,7366,0.3,0.6,1.5,97.6,21.1,47.3,29.3,16.9,61.9,21.2,13.6,15.6,4.9,3.1,28.5,6.2,59,220,85.7,324.2,1.3,15.8,45.2,590.6,201.2,179.7,34.6,1.1,13.5,0.3,7.1,7.3,30.3
00AUFZ,E05000368,Caledonian,Islington,80.4,14950,2200,11450,1250,14.8,76.7,8.5,34,30,1.1,13227.3,34.7,37.3,14.4,41.7,78.2,82.7,157.5,1.7,5,6494,61.7,49.6,447500,142,35840,6407,1.3,3.1,13.5,81.6,22.6,44.7,29.8,9,82.2,8.8,17,16.9,6.3,3.4,30.6,7.2,55.2,92,100,312,1.6,21,39.1,682.3,207.4,138.8,38.7,1,16.4,0.4,5.3,8.2,33.7
00AUGA,E05000369,Canonbury,Islington,82.6,12500,2250,9000,1250,18.2,71.9,9.9,35.5,33,0.8,15437.5,28.2,29.7,9.1,50,78.9,86.2,111.2,0.4,8,6103,69.2,36.3,550000,131,40590,5875,1.2,5.6,10.6,82.5,27.8,47.2,22,6.3,79.3,14.5,18.7,18.1,7.8,2.8,30.6,8.1,58.9,62,100,310.4,1.8,19.2,47.3,644,213.1,80.2,24.2,0.2,14.4,0.4,6.5,9,35.3
00AUGB,E05000370,Clerkenwell,Islington,83.9,12350,1450,9850,1000,11.7,80,8.3,34.8,31,0.9,13444.4,29.3,38.5,12.6,38.3,80.3,87.7,148.1,1.5,11,5721,62.6,88.2,732500,142,43350,5733,0.8,1,7.7,90.4,29,42.3,26.5,21.1,57.3,21.7,13.5,14.9,6,2.4,25.3,4.8,57.2,225,85.7,300.6,1.6,15.1,47.9,606.1,200,154.3,28.5,0.2,9.3,0.4,6.9,8.4,34.9
00AUGC,E05000371,Finsbury Park,Islington,78,15300,2700,11300,1300,17.6,73.8,8.6,33.6,31,0.9,16555.6,42.9,41.6,17.5,51.1,75,81.1,190.7,1.3,4,6862,65.4,63.3,410000,153,33620,6493,1.5,2.3,13.5,82.6,22.6,43.4,31.9,15.8,75.2,9,20,20.7,8,4.3,30.6,8.5,56.1,40,100,309.8,1.3,20.6,41.8,622.7,208.5,161.3,47.1,0.4,15.9,0.3,6.6,8.2,37.3
00AUGD,E05000372,Highbury East,Islington,82.3,12150,2250,8700,1200,18.4,71.8,9.8,35.5,33,1,11950,23.5,30.9,9.3,63.5,80.8,83.5,115.5,0.5,0,6350,74.5,33.5,667500,194,47810,5391,1.4,3.3,21.5,73.8,41.1,31.1,26.1,5.3,67.5,27.2,11.8,12.1,4.9,2.2,15.5,4.3,49,215,100,343,1,13.4,58.8,741.9,217.2,98.2,23.1,0.2,21.6,0.5,4.7,12.9,41.5
00AUGE,E05000373,Highbury West,Islington,80.7,16400,2650,12650,1050,16.2,77.3,6.5,33.6,31,1.1,14363.6,32.1,34.5,12.8,48.5,78.8,82.7,114.5,0.6,4,8745,74.5,41.1,500000,431,43800,7376,1.1,2.6,17.5,78.9,29.4,33.5,33.2,8.4,76.5,15.1,15.3,13.5,5.1,2.5,21.4,5.4,52.3,152,100,322.6,0.9,12.6,56.3,739.7,220,88.5,27.3,0.3,10.6,0.4,5.7,10.2,39.5
00AUGF,E05000374,Hillrise,Islington,80.1,12350,2300,8900,1150,18.5,72.1,9.4,35,33,0.8,15125,33.7,32.9,10.4,53.2,78.1,81.9,114.2,0.6,1,5560,65.7,37,447500,118,39090,5209,1.3,3.4,18.8,76.6,32.9,45.3,20.1,15.1,71.2,13.7,20,18.2,7.4,3.8,24.4,8.4,60.2,108,100,315.8,1.3,17.9,43.7,693.6,211.9,74,26.2,0.5,18.3,0.5,4.2,8,39.6
00AUGG,E05000375,Holloway,Islington,80.2,16050,2400,12400,1250,15.1,77.2,7.7,33.5,30,1,15750,36.1,39.6,14.9,37.3,76.9,83.4,119.6,0.8,7,7305,63.9,50,405000,195,35430,6912,1.3,3.5,8.7,86.5,22.4,46.5,26.2,11.5,82,6.5,18.1,17.8,6.7,3.7,29.3,7.4,57.2,76,100,312.2,1.6,18.8,43.3,624.4,201.6,83.3,22.8,0.6,16.9,0.4,5.9,8.8,37.5
00AUGH,E05000376,Junction,Islington,78.4,12950,2000,9700,1250,15.4,74.9,9.7,35.6,33,1,12600,30.6,34.7,11.5,37.5,75.5,81.1,189.7,1.2,5,6085,68.4,49.2,452000,149,39470,5882,1,3,14.2,81.8,28.5,43.3,25.7,8.5,81.3,10.1,17.1,17,6.6,3.7,22.4,5.6,54.9,102,100,334.5,1.3,16.8,46.9,715.7,218.8,115.5,34.1,0.4,16.6,0.4,6,9.4,38.6
00AUGJ,E05000377,Mildmay,Islington,81.1,13500,2500,10000,1050,18.3,74,7.7,33.7,32,0.8,16625,34.5,33.8,10.6,55.1,78.4,83.8,125.4,0.6,1,6556,68.6,36.4,525000,167,39300,6064,1.1,2.9,11.5,84.4,27.4,47,23.3,6.8,82.9,10.3,17.5,18.3,7.1,2.8,27.6,8.7,61.4,85,100,329.6,1.1,17.4,48.8,635.4,204.3,92.3,24.7,0.2,10.6,0.4,6.1,13.2,35.8
00AUGK,E05000378,St George's,Islington,81.4,13100,2100,9750,1250,16.2,74.4,9.5,35.2,33,0.8,16062.5,28.1,32.8,10.6,47.1,77.7,85.7,144.5,0.8,2,6282,67.8,50,495645,129,40860,5627,1,4,12.7,82.3,33.6,38,26.1,10.2,75.9,14,17,16.2,6.4,3.7,21.5,6,53.8,121,100,328.5,1.2,16.5,48.3,686.2,212.3,76.5,24.1,0.2,8.1,0.5,4.5,11.4,39.8
