Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00AEHE,E05000104,Wembley Central,Brent,83.4,16150,3100,11350,1700,19.1,70.3,10.6,35.6,33,1.6,9718.8,86,68.5,32.9,88.8,81.8,85.1,143.6,1.6,7,6963,65.6,119.4,250000,118,31040,4540,6.7,28.2,19.8,45.2,47.2,15.6,33.5,11.2,86.1,2.7,12.4,11,3.5,2.6,13,4.5,44.3,223,100,305.7,1,20.7,29,731,220.3,118.3,39.5,0.1,20.1,0.8,4.9,1.2,30.4
00AEHF,E05000105,Willesden Green,Brent,80.4,15950,3050,11600,1300,19.1,72.7,8.2,33.7,32,1.5,10600,52.7,56.3,25.9,55.9,77.8,83,134.4,1,0,7834,68.6,117,409500,147,31390,6213,3.3,7.1,16.1,73.3,25.4,26.8,43.2,13.5,85.6,1,22,21.2,5.7,4.4,19.3,6.9,45.5,94,100,296.7,1.2,18.5,33.3,614.7,203.3,94.9,33.8,0.4,36.8,0.5,4.6,3.1,30.7
00AFGD,E05000106,Bickley,Bromley,81.6,15450,3000,9300,3150,19.4,60.3,20.4,41.8,43,4.9,3132.7,14.5,15.7,2.7,57.9,80,83.2,128.8,0.4,4,7004,76,6.9,480000,315,47190,6173,37,21.5,17.8,23.7,80.2,7,11.4,3.1,49.4,47.5,5.9,4,2.3,1,5.2,2.1,35.6,594,0,359.3,0.6,14.5,40.7,803.2,217.3,36.5,7.1,0.3,21.5,1.4,2.4,1.3,33.2
00AFGE,E05000107,Biggin Hill,Bromley,84.6,10250,1850,6400,2000,18,62.4,19.6,40.9,42,8.3,1222.9,4.1,5.1,0.5,61.6,82.8,86.3,71.8,0.4,2,5104,79.2,0.7,269950,197,40930,4032,36.8,27.3,22.8,13,88,4.6,5.7,1.2,82.1,16.7,6.9,3.3,2.3,0.7,8.4,2.2,26.5,591,0,311.6,1,18.3,23,699.1,209.3,44.8,12.7,0.7,72.7,1.7,1.8,0.5,32.8
00AFGF,E05000108,Bromley Common and Keston,Bromley,83.3,16250,3350,10100,2800,20.7,62.2,17.1,39.6,40,8.3,1897.6,12.8,12.1,1.9,64.4,81.3,85.1,121.9,0.5,2,6930,73.2,4.6,350000,375,40510,6509,20.4,33.3,26.1,20.3,73.1,15.7,9.5,4.1,72.2,23.7,10.2,7.6,3.7,1.3,11.2,4.5,40.4,463,44.4,341.7,0.8,20.5,28.3,735.3,213.6,53,19.2,0.2,58.6,1.3,2.3,1.5,31.2
00AFGG,E05000109,Bromley Town,Bromley,81.5,18600,3900,12200,2500,20.8,65.7,13.5,37.5,36,3.7,4797.3,18.5,19.9,4.9,68.6,79.3,83.7,157.8,1.9,3,8832,78.6,16.2,327000,359,43460,7834,8.8,25.2,21,45.1,65.3,10,22.7,8.7,73.2,18.1,7.8,6.7,2.5,1.2,8.2,2.8,36.8,521,10,339.7,0.6,13.1,41,772.5,216.1,139,35.3,0.4,17.6,1,3.8,1.7,32.7
00AFGH,E05000110,Chelsfield and Pratts Bottom,Bromley,85.4,14800,2800,9000,3000,19.1,60.7,20.3,41.6,43,12.6,1166.7,9.7,9.7,1.3,57.3,84.3,86.5,86,0.2,4,6957,77.3,3,400000,248,44850,5947,33.1,40.5,18.4,8,87,4.6,7.1,3,68,29,6,2.8,2,0.8,5.6,1.6,25,627,0,363.7,0.8,16.4,33.2,760.8,214.4,40.3,6.4,0.3,68.4,1.5,2.1,1,38.9
00AFGJ,E05000111,Chislehurst,Bromley,82.1,15400,2900,9200,3300,18.7,59.8,21.4,42.6,43,10.4,1461.5,12,12.7,1.9,71.1,81,83.1,110.7,0.7,2,6732,75.1,4.7,395000,324,46250,6412,35.5,20.8,20.8,23,79.9,7.1,11.4,2.1,53.3,44.6,5.9,3.8,2.1,0.8,5.8,2.4,38.6,560,10,343.4,0.7,15.8,38,782.5,220.5,55.2,14.6,0.3,59.1,1.4,2.1,1.2,32.3
00AFGK,E05000112,Clock House,Bromley,82.7,16050,3450,10600,2000,21.6,66,12.4,37.2,37,2.3,6869.6,20.6,17.3,3.9,73.8,79.8,85.2,99.6,0.3,3,8308,77.7,10.8,308750,386,41650,7186,3.5,20.6,34.1,41.9,67.6,12.6,17.8,11.2,80.9,7.9,8.1,7.7,3.6,1.4,8.7,3.2,36.7,499,27.3,338.2,0.7,15.2,38.3,720.5,215.3,46,15.3,0.2,16.2,1,4,2.1,34.7
00AFGL,E05000113,Copers Cope,Bromley,82,15950,2500,10750,2650,15.8,67.6,16.6,40.6,38,3.3,4772.7,17.4,20.3,4.6,69.3,79.7,84.1,107.6,0.7,4,8569,79.5,12,315000,505,43170,8403,10.2,6.7,12.7,70.3,61.1,9.2,27.7,7.8,73.7,18.5,6.8,6.7,2.9,0.9,11.2,2.8,43.6,529,11.1,335.5,0.9,12.1,45,798.3,216,70.5,20.9,0.1,16.7,1,3.3,1.7,32.3
